GiornataLega;GiornataSerieA;Casa;Trasferta
22;24;ALVIN SUPERSTAR;Atletico Gomez
22;24;FC LEAO MERAVIGLIAO;Frusinello 92
22;24;Old Wild Weston;Bettercallsaud
22;24;Tonno Rio Malen;Porca MaDovbyk
23;25;Atletico Gomez;Tonno Rio Malen
23;25;Bettercallsaud;ALVIN SUPERSTAR
23;25;Frusinello 92;Old Wild Weston
23;25;Porca MaDovbyk;FC LEAO MERAVIGLIAO
24;26;ALVIN SUPERSTAR;Old Wild Weston
24;26;Atletico Gomez;Porca MaDovbyk
24;26;FC LEAO MERAVIGLIAO;Bettercallsaud
24;26;Tonno Rio Malen;Frusinello 92
25;27;ALVIN SUPERSTAR;Porca MaDovbyk
25;27;Bettercallsaud;Tonno Rio Malen
25;27;Frusinello 92;Atletico Gomez
25;27;Old Wild Weston;FC LEAO MERAVIGLIAO
26;28;Atletico Gomez;Old Wild Weston
26;28;FC LEAO MERAVIGLIAO;Tonno Rio Malen
26;28;Frusinello 92;ALVIN SUPERSTAR
26;28;Porca MaDovbyk;Bettercallsaud
27;29;Bettercallsaud;Frusinello 92
27;29;FC LEAO MERAVIGLIAO;Atletico Gomez
27;29;Porca MaDovbyk;Old Wild Weston
27;29;Tonno Rio Malen;ALVIN SUPERSTAR
28;30;ALVIN SUPERSTAR;FC LEAO MERAVIGLIAO
28;30;Atletico Gomez;Bettercallsaud
28;30;Frusinello 92;Porca MaDovbyk
28;30;Old Wild Weston;Tonno Rio Malen
29;31;ALVIN SUPERSTAR;Atletico Gomez
29;31;Bettercallsaud;FC LEAO MERAVIGLIAO
29;31;Frusinello 92;Old Wild Weston
29;31;Porca MaDovbyk;Tonno Rio Malen
30;32;Atletico Gomez;Bettercallsaud
30;32;FC LEAO MERAVIGLIAO;Porca MaDovbyk
30;32;Old Wild Weston;ALVIN SUPERSTAR
30;32;Tonno Rio Malen;Frusinello 92
31;33;Bettercallsaud;ALVIN SUPERSTAR
31;33;Frusinello 92;FC LEAO MERAVIGLIAO
31;33;Porca MaDovbyk;Atletico Gomez
31;33;Tonno Rio Malen;Old Wild Weston
32;34;ALVIN SUPERSTAR;Porca MaDovbyk
32;34;Atletico Gomez;Frusinello 92
32;34;FC LEAO MERAVIGLIAO;Tonno Rio Malen
32;34;Old Wild Weston;Bettercallsaud
33;35;FC LEAO MERAVIGLIAO;Old Wild Weston
33;35;Frusinello 92;ALVIN SUPERSTAR
33;35;Porca MaDovbyk;Bettercallsaud
33;35;Tonno Rio Malen;Atletico Gomez
34;36;ALVIN SUPERSTAR;Tonno Rio Malen
34;36;Atletico Gomez;FC LEAO MERAVIGLIAO
34;36;Bettercallsaud;Frusinello 92
34;36;Porca MaDovbyk;Old Wild Weston
35;37;FC LEAO MERAVIGLIAO;ALVIN SUPERSTAR
35;37;Frusinello 92;Porca MaDovbyk
35;37;Old Wild Weston;Atletico Gomez
35;37;Tonno Rio Malen;Bettercallsaud
36;38;ALVIN SUPERSTAR;Bettercallsaud
36;38;Atletico Gomez;Old Wild Weston
36;38;Frusinello 92;Tonno Rio Malen
36;38;Porca MaDovbyk;FC LEAO MERAVIGLIAO
